state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,fold,condition_id
phase=q4,194,O5_full_TFC,0.0382291770121227,O4_B_C_boundary,-0.030781199350593872,-0.07712797790812416,-0.09405608825683724,-0.08348083858954246,-0.030781199350593872,0.0382291770121227,0,b6j_098
phase=q1,190,O4_B_C_boundary,0.05793708583611016,O4_B_C_boundary,0.05793708583611016,-0.025825681834804912,0.05588356717033472,0.04891868647714137,0.05793708583611016,-0.02240142077763182,0,b6j_098
phase=q4,200,O5_full_TFC,0.06252306832015508,O2_lag5_AB,0.004955428789860642,-0.02131785259057493,0.004955428789860642,-0.05543061760234063,-0.09351379485718411,0.06252306832015508,1,b6j_098
phase=q1,195,O2_lag5_AB,0.04902800499623608,O2_lag5_AB,0.04902800499623608,0.04158129082177765,0.04902800499623608,0.03819744976012122,-0.017984181068140193,-0.03030568269512968,1,b6j_098
phase=q4,211,O1_lag0_AB,0.007459508775729739,O1_lag0_AB,0.007459508775729739,0.007459508775729739,0.0024633987987805485,-0.07825565227724102,-0.026510133955522455,-0.012482532316192785,2,b6j_098
phase=q1,207,O1_lag0_AB,0.06754866612599522,O1_lag0_AB,0.06754866612599522,0.06754866612599522,0.01566526828739907,-0.030048433615771225,0.009264347615724778,-0.09758530604813964,2,b6j_098
phase=q1,196,O3_A_C_boundary,0.09057559731387008,O3_A_C_boundary,0.09057559731387008,0.08330380835752671,0.052313483948133455,0.09057559731387008,0.048281003238696094,-0.00014763239718351695,3,b6j_098
phase=q4,201,O5_full_TFC,0.08814073180867121,O3_A_C_boundary,0.07811674663051253,-0.018162497813667598,-0.06365693765690411,0.07811674663051253,-0.03183256666160272,0.08814073180867121,3,b6j_098
phase=q4,210,O4_B_C_boundary,0.008225735943642388,O4_B_C_boundary,0.008225735943642388,-0.03290528419652424,-0.021824915779288,-0.05806762700571593,0.008225735943642388,-0.005832329411502139,4,b6j_098
phase=q1,204,O4_B_C_boundary,0.05557145705908979,O4_B_C_boundary,0.05557145705908979,-0.02575532702247284,0.0008094620354310021,0.03905378412959133,0.05557145705908979,-0.014895338962101814,4,b6j_098
