state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,fold,condition_id
side=B_side|tfc=high|dphi=low,21,O3_A_C_boundary,0.4684777800432247,O3_A_C_boundary,0.4684777800432247,0.2869924953110325,-0.17516113146275702,0.4684777800432247,0.09205989378022505,0.05329917223232193,0,b6e_robust_072
side=A_side|tfc=high|dphi=mid,18,O3_A_C_boundary,0.8283912870307407,O3_A_C_boundary,0.8283912870307407,0.6036661304108306,-0.03781319685489552,0.8283912870307407,0.005119428239485635,0.5230402945962997,0,b6e_robust_072
side=B_side|tfc=high|dphi=mid,25,O1_lag0_AB,0.39328546998647396,O3_A_C_boundary,-0.0694029391412601,0.39328546998647396,-0.07390927269319202,-0.0694029391412601,-0.03775578326620702,-0.06316626582596406,0,b6e_robust_072
side=A_side|tfc=low|dphi=mid,17,O3_A_C_boundary,0.32770257351047183,O3_A_C_boundary,0.32770257351047183,-0.738774229865174,-0.47434554721307903,0.32770257351047183,-0.30777515011193746,-0.30253134022858613,0,b6e_robust_072
side=A_side|tfc=high|dphi=high,18,O1_lag0_AB,0.422605566897888,O3_A_C_boundary,0.3281049093895516,0.422605566897888,0.14483388054606616,0.3281049093895516,0.3714429600426839,0.11964202374512789,0,b6e_robust_072
side=B_side|tfc=low|dphi=low,28,O4_B_C_boundary,0.14751173036210366,O3_A_C_boundary,-0.8306069479032955,-0.31485012462128237,-0.19820417351441105,-0.8306069479032955,0.14751173036210366,-0.7676092811053727,0,b6e_robust_072
side=A_side|tfc=mid|dphi=low,21,O4_B_C_boundary,0.14028237185649506,O3_A_C_boundary,0.04796080346795006,-0.06682464553576542,-0.013264629372907828,0.04796080346795006,0.14028237185649506,0.11132105592826753,0,b6e_robust_072
side=B_side|tfc=mid|dphi=low,31,O3_A_C_boundary,-0.14177511707012902,O3_A_C_boundary,-0.14177511707012902,-0.30365114587605463,-0.44214334085923246,-0.14177511707012902,-0.24146636529574184,-0.19012722279361613,0,b6e_robust_072
side=B_side|tfc=low|dphi=mid,25,O4_B_C_boundary,0.14708198592808086,O3_A_C_boundary,-0.3075857795564835,-0.26746690618723207,0.11645368596616394,-0.3075857795564835,0.14708198592808086,-0.19280982888445417,0,b6e_robust_072
side=A_side|tfc=mid|dphi=high,8,O3_A_C_boundary,0.2548797793970337,O3_A_C_boundary,0.2548797793970337,-0.7688200717496428,-0.38748023110474955,0.2548797793970337,-0.4707029853527123,-0.14345236070756315,0,b6e_robust_072
side=B_side|tfc=low|dphi=high,24,O4_B_C_boundary,0.40772589193046743,O3_A_C_boundary,-0.23194663428948686,-0.3228455167193903,-0.11814873406189363,-0.23194663428948686,0.40772589193046743,-0.1998297288045683,0,b6e_robust_072
side=B_side|tfc=mid|dphi=high,26,O2_lag5_AB,0.3711349111822167,O3_A_C_boundary,-0.14017747787029228,0.14057647288932454,0.3711349111822167,-0.14017747787029228,-0.13845726374972675,-0.009808708424448843,0,b6e_robust_072
side=B_side|tfc=high|dphi=high,29,O1_lag0_AB,0.6498991345430477,O3_A_C_boundary,-0.007443213762975732,0.6498991345430477,0.3161214379041992,-0.007443213762975732,-0.17410119052536666,0.348168784012686,0,b6e_robust_072
side=B_side|tfc=mid|dphi=mid,24,O1_lag0_AB,0.022681664952000923,O3_A_C_boundary,-0.09182787050681147,0.022681664952000923,0.01041613524475136,-0.09182787050681147,-0.18389525123415715,0.021842540519258425,0,b6e_robust_072
side=A_side|tfc=low|dphi=high,15,O4_B_C_boundary,0.5779046878034808,O3_A_C_boundary,0.0783162263085658,-0.3593718343044308,0.5137833110439628,0.0783162263085658,0.5779046878034808,0.11192826168787622,0,b6e_robust_072
side=A_side|tfc=mid|dphi=mid,16,O3_A_C_boundary,-0.24599744114350328,O3_A_C_boundary,-0.24599744114350328,-0.26113371402530977,-0.4017652165832656,-0.24599744114350328,-0.41939931346555864,-0.5600840626390965,0,b6e_robust_072
side=A_side|tfc=low|dphi=low,16,O3_A_C_boundary,0.6502521528773451,O3_A_C_boundary,0.6502521528773451,-0.5810335599717129,-0.19865057931061467,0.6502521528773451,0.3668923571631411,0.11998638812268382,0,b6e_robust_072
side=A_side|tfc=high|dphi=low,17,O3_A_C_boundary,0.8271623338000971,O3_A_C_boundary,0.8271623338000971,0.3478663908146456,-0.1325825214724777,0.8271623338000971,-0.46440527601048764,0.2891966255077667,0,b6e_robust_072
side=B_side|tfc=low|dphi=low,37,O4_B_C_boundary,0.24907022194556602,O2_lag5_AB,-0.12586230448638516,-0.3849115960334652,-0.12586230448638516,-0.783028454546688,0.24907022194556602,-0.5820422776790013,1,b6e_robust_072
side=A_side|tfc=low|dphi=high,21,O2_lag5_AB,0.455078823101299,O2_lag5_AB,0.455078823101299,-0.18364153219022664,0.455078823101299,0.16342248141042717,0.2202701360936606,0.13156124791522522,1,b6e_robust_072
side=A_side|tfc=high|dphi=mid,21,O3_A_C_boundary,0.799562092495225,O2_lag5_AB,0.18070506630322888,0.5785297398146737,0.18070506630322888,0.799562092495225,0.37481528181948803,0.6669143259702577,1,b6e_robust_072
side=B_side|tfc=high|dphi=high,35,O1_lag0_AB,0.6511539137814111,O2_lag5_AB,0.272566739049751,0.6511539137814111,0.272566739049751,-0.16509450462159245,-0.19482268578042775,0.253476779336666,1,b6e_robust_072
side=B_side|tfc=mid|dphi=low,35,O4_B_C_boundary,-0.1416099908180317,O2_lag5_AB,-0.4320187751145514,-0.4123602434093651,-0.4320187751145514,-0.20073315721894344,-0.1416099908180317,-0.31999743531380204,1,b6e_robust_072
side=B_side|tfc=mid|dphi=mid,29,O5_full_TFC,0.22180458667086791,O2_lag5_AB,0.14900717611210765,0.13176290092134182,0.14900717611210765,0.014081755767791878,0.0671924956432496,0.22180458667086791,1,b6e_robust_072
side=B_side|tfc=mid|dphi=high,27,O2_lag5_AB,0.325909298324664,O2_lag5_AB,0.325909298324664,0.28762838614456615,0.325909298324664,-0.3861921519316933,-0.07572487604239257,-0.0461776231998741,1,b6e_robust_072
side=B_side|tfc=low|dphi=mid,28,O2_lag5_AB,0.18649842152507146,O2_lag5_AB,0.18649842152507146,-0.2734424097552917,0.18649842152507146,-0.31720685492578227,0.12946959823047136,-0.0010494914363609507,1,b6e_robust_072
side=B_side|tfc=high|dphi=mid,22,O1_lag0_AB,0.6903474023572655,O2_lag5_AB,0.09320953024731768,0.6903474023572655,0.09320953024731768,-0.35063571861801857,-0.11632478610831384,0.07252735461993183,1,b6e_robust_072
side=A_side|tfc=mid|dphi=high,10,O3_A_C_boundary,0.23551736521631975,O2_lag5_AB,-0.08642416214502249,-0.35772225867155794,-0.08642416214502249,0.23551736521631975,-0.19197855898071353,0.2188976763389479,1,b6e_robust_072
side=B_side|tfc=high|dphi=low,19,O1_lag0_AB,0.46157110659670014,O2_lag5_AB,0.2248005609513852,0.46157110659670014,0.2248005609513852,0.20302578462857637,0.09987904114290704,0.29417521143149356,1,b6e_robust_072
side=B_side|tfc=low|dphi=high,23,O4_B_C_boundary,0.1342834153293666,O2_lag5_AB,-0.058382114564370154,-0.37576513251931587,-0.058382114564370154,0.028767015354203514,0.1342834153293666,-0.03665234766333878,1,b6e_robust_072
side=A_side|tfc=mid|dphi=mid,19,O3_A_C_boundary,-0.19798948609515427,O2_lag5_AB,-0.2732943274442424,-0.29376089371873837,-0.2732943274442424,-0.19798948609515427,-0.32195515372765576,-0.404910367065402,1,b6e_robust_072
side=A_side|tfc=low|dphi=mid,15,O3_A_C_boundary,-0.13277084009632384,O2_lag5_AB,-0.3561723045976684,-0.6110499451484518,-0.3561723045976684,-0.13277084009632384,-0.41869609530079405,-0.40520864357889425,1,b6e_robust_072
side=A_side|tfc=high|dphi=low,16,O3_A_C_boundary,0.7291533136562653,O2_lag5_AB,0.11570838237598048,0.48029161953555266,0.11570838237598048,0.7291533136562653,-0.5186468371193241,0.38386789115264536,1,b6e_robust_072
side=A_side|tfc=high|dphi=high,14,O4_B_C_boundary,0.5856869688268748,O2_lag5_AB,0.17295035990060575,0.2651103695688423,0.17295035990060575,0.49547663508673556,0.5856869688268748,0.24946036623925408,1,b6e_robust_072
side=A_side|tfc=low|dphi=low,12,O2_lag5_AB,0.2482016226892175,O2_lag5_AB,0.2482016226892175,-0.42653312792853754,0.2482016226892175,0.2044670937483386,0.0068259043193141964,0.19658286467332697,1,b6e_robust_072
side=A_side|tfc=mid|dphi=low,19,O3_A_C_boundary,0.1320164603230491,O2_lag5_AB,0.050749290515780913,-0.041115362578746865,0.050749290515780913,0.1320164603230491,-0.016798123910812507,0.07531481965673215,1,b6e_robust_072
side=B_side|tfc=low|dphi=low,31,O4_B_C_boundary,0.19933405932480197,O4_B_C_boundary,0.19933405932480197,-0.36340075174877445,-0.24123193219365113,-0.6300371761624141,0.19933405932480197,-0.6213412485286561,2,b6e_robust_072
side=A_side|tfc=low|dphi=high,20,O2_lag5_AB,0.5185449728701348,O4_B_C_boundary,0.15132427590244463,-0.1668427925819914,0.5185449728701348,0.06187689152082682,0.15132427590244463,0.19304083107560932,2,b6e_robust_072
