topology_arm,representation_arm,arm_family,run_idx,seed,differentiated_recovery
c8,c_to_ab_magnitude_only,magnitude_only,1,2018252348,0.019959492915993103
c8,c_to_ab_magnitude_only,magnitude_only,2,1153752828,0.015662439352442832
c8,c_to_ab_magnitude_only,magnitude_only,3,776774463,0.008314370649558419
c8,c_to_ab_magnitude_only,magnitude_only,4,392559452,0.022465104633546364
c8,c_to_ab_magnitude_only,magnitude_only,5,580948266,0.005162147905623611
c8,c_to_ab_magnitude_only,magnitude_only,6,1261200521,0.024602337733819982
c8,c_to_ab_magnitude_only,magnitude_only,7,403744083,0.0076524251500421905
c8,c_to_ab_magnitude_only,magnitude_only,8,1095635096,0.01699673331623076
c8,c_to_ab_magnitude_only,magnitude_only,9,107507719,0.01791370018211396
c8,c_to_ab_magnitude_only,magnitude_only,10,506668230,0.019125641331030133
c8,c_to_ab_magnitude_only,magnitude_only,11,1660674278,0.005650769372173816
c8,c_to_ab_magnitude_only,magnitude_only,12,285798294,0.008626068748010396
c8,c_to_ab_magnitude_only,magnitude_only,13,1896206075,0.019285877234288748
c8,c_to_ab_magnitude_only,magnitude_only,14,1721546390,0.02339012940900388
c8,c_to_ab_magnitude_only,magnitude_only,15,719422974,0.01202467107366736
c8,c_to_ab_magnitude_only,magnitude_only,16,1475242227,0.0010627240914942734
c8,c_to_ab_magnitude_only,magnitude_only,17,1865023522,0.019759510609654404
c8,c_to_ab_magnitude_only,magnitude_only,18,1483332560,0.018834015478380768
c8,c_to_ab_magnitude_only,magnitude_only,19,598756086,0.01854396774957369
c8,c_to_ab_magnitude_only,magnitude_only,20,83755121,0.009883723448065512
c8,c_to_ab_magnitude_only,magnitude_only,21,931291340,0.019976150837017023
c8,c_to_ab_magnitude_only,magnitude_only,22,1202243855,0.011822176628399366
c8,c_to_ab_magnitude_only,magnitude_only,23,125504334,0.01213651167838198
c8,c_to_ab_magnitude_only,magnitude_only,24,1937567592,0.015880089962717947
c8,c_to_ab_magnitude_only,magnitude_only,25,1915655892,0.0056921459653703115
c8,c_to_ab_magnitude_only,magnitude_only,26,1596470251,0.013687427517312894
c8,c_to_ab_magnitude_only,magnitude_only,27,1463276501,0.022273610651267636
c8,c_to_ab_magnitude_only,magnitude_only,28,1902317682,0.009936702753174478
c8,c_to_ab_magnitude_only,magnitude_only,29,687181979,0.020018490310591986
c8,c_to_ab_magnitude_only,magnitude_only,30,1441050628,0.018284700390803262
c8,c_to_ab_magnitude_only,magnitude_only,31,1166534419,0.016442518407656457
c8,c_to_ab_magnitude_only,magnitude_only,32,26570818,0.01843518602664264
c8,c_to_ab_magnitude_only,magnitude_only,33,337809428,0.006911734192892426
c8,c_to_ab_magnitude_only,magnitude_only,34,534613578,0.005239693339859454
c8,c_to_ab_magnitude_only,magnitude_only,35,620077560,0.014861268799838248
c8,c_to_ab_standpoint_only,standpoint_only,0,1173975052,0.006987030256997321
c8,c_to_ab_standpoint_only,standpoint_only,1,2018252348,0.019959492915993103
c8,c_to_ab_standpoint_only,standpoint_only,2,1153752828,0.015662439352442832
c8,c_to_ab_standpoint_only,standpoint_only,3,776774463,0.008314370649558419
c8,c_to_ab_standpoint_only,standpoint_only,4,392559452,0.022465104633546364
